Course Code,Assignment Name,Assignment Type,K/U,APP,T/I,COMM,Weight
ICS3U1-01,Algorithms,Quiz,12,15,10,8,5
ICS3U1-01,Variables,Quiz,14,14,8,7,5
ICS3U1-01,Branching,Quiz,15,13,7,6,5
ICS3U1-01,Loops,Quiz,14,15,8,8,5
ICS3U1-01,Mid-Term Test,Test,32,28,14,10,10
ICS3U1-01,Ted Talk,Presentation,20,20,10,20,10
ICS3U1-01,Encryption,Assignment,20,30,20,15,10
ICS3U1-01,Game Design,Culminating,50,50,30,30,25
ICS3U1-02,Algorithms,Quiz,12,15,10,8,5
ICS3U1-02,Variables,Quiz,14,14,8,7,5
ICS3U1-02,Branching,Quiz,15,13,7,6,5
ICS3U1-02,Loops,Quiz,14,15,8,8,5
ICS3U1-02,Mid-Term Test,Test,32,28,14,10,10
ICS3U1-02,Ted Talk,Presentation,20,20,10,20,10
ICS3U1-02,Encryption,Assignment,20,30,20,15,10
ICS3U1-02,Game Design,Culminating,50,50,30,30,25
MCR3U1-01,Review,Quiz,10,10,5,5,5
MCR3U1-01,Quadratics,Quiz,10,10,7,5,5
MCR3U1-01,Max/Min Word Problems,Quiz,10,10,8,6,5
MCR3U1-01,Functions Intro,Quiz,10,10,6,5,5
MCR3U1-01,Function Transformations,Quiz,10,10,5,5,5
MCR3U1-01,Mid-Term,Unit Test,30,24,18,15,10
MCR3U1-01,Trigonometric Ratios,Quiz,10,10,6,5,5
MCR3U1-01,Trigonometric Functions,Quiz,10,10,5,5,5
MCR3U1-01,Exponential Functions,Quiz,10,10,15,5,5
MCR3U1-01,Sequences and Series,Quiz,10,10,6,5,5
MCR3U1-01,Financial Applications,Quiz,10,10,5,5,5
MCR3U1-01,Unit Test,Test,34,28,20,15,10
MCR3U1-04,Review,Quiz,10,10,5,5,5
MCR3U1-04,Quadratics,Quiz,10,10,7,5,5
MCR3U1-04,Max/Min Word Problems,Quiz,10,10,8,6,5
MCR3U1-04,Functions Intro,Quiz,10,10,6,5,5
MCR3U1-04,Function Transformations,Quiz,10,10,5,5,5
MCR3U1-04,Mid-Term,Unit Test,30,24,18,15,10
MCR3U1-04,Trigonometric Ratios,Quiz,10,10,6,5,5
MCR3U1-04,Trigonometric Functions,Quiz,10,10,5,5,5
MCR3U1-04,Exponential Functions,Quiz,10,10,15,5,5
MCR3U1-04,Sequences and Series,Quiz,10,10,6,5,5
MCR3U1-04,Financial Applications,Quiz,10,10,5,5,5
MCR3U1-04,Unit Test,Test,34,28,20,15,10
